S.L No,CustomerID,Gender,Location,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,GST,Offline_Spend,Online_Spend,Month,Discount_pct
34270,12748,F,Chicago,26502,26-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,3,149,6,0.1,3500,1363.31,4,10
34271,12748,F,Chicago,26502,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,1363.31,4,10
34272,12748,F,Chicago,26502,26-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,3,79,6,0.1,3500,1363.31,4,10
34273,12748,F,Chicago,26505,26-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4,79,6,0.1,3500,1363.31,4,10
34274,12748,F,Chicago,26507,26-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,4,79,6,0.1,3500,1363.31,4,10
34275,12748,F,Chicago,26507,26-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2,149,6,0.1,3500,1363.31,4,10
34276,12748,F,Chicago,26508,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34277,12748,F,Chicago,26521,26-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34278,12748,F,Chicago,26524,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34279,12748,F,Chicago,26524,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34280,12748,F,Chicago,26525,26-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34281,12748,F,Chicago,26527,26-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6,0.1,3500,1363.31,4,10
34282,12748,F,Chicago,26528,26-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79,6,0.1,3500,1363.31,4,10
34283,12748,F,Chicago,26531,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34284,17827,M,California,26510,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34285,17827,M,California,26510,26-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34286,17827,M,California,26512,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,19.99,0.1,3500,1363.31,4,10
34287,17827,M,California,26514,26-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149,6,0.1,3500,1363.31,4,10
34288,17827,M,California,26514,26-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79,6,0.1,3500,1363.31,4,10
34289,15723,F,Washington DC,26444,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,1363.31,4,10
34290,15723,F,Washington DC,26446,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34291,15723,F,Washington DC,26448,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34292,15723,F,Washington DC,26448,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34293,15723,F,Washington DC,26455,26-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34294,15723,F,Washington DC,26455,26-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,5,119,6,0.1,3500,1363.31,4,10
34295,15723,F,Washington DC,26457,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34296,15723,F,Washington DC,26459,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34297,15723,F,Washington DC,26461,26-Apr-19,GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34298,15723,F,Washington DC,26461,26-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34299,15723,F,Washington DC,26464,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34300,15723,F,Washington DC,26464,26-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79,6,0.1,3500,1363.31,4,10
34301,15723,F,Washington DC,26464,26-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34302,15723,F,Washington DC,26465,26-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79,6,0.1,3500,1363.31,4,10
34303,15723,F,Washington DC,26466,26-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34304,15723,F,Washington DC,26469,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34305,15723,F,Washington DC,26471,26-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,1363.31,4,10
34306,15723,F,Washington DC,26472,26-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,1363.31,4,10
34307,12748,F,Chicago,26534,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34308,12748,F,Chicago,26538,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34309,12748,F,Chicago,26541,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,119,12.99,0.1,3500,2056.17,4,10
34310,12748,F,Chicago,26544,27-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34311,12748,F,Chicago,26546,27-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34312,12748,F,Chicago,26549,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34313,12748,F,Chicago,26574,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,2056.17,4,10
34314,12748,F,Chicago,26575,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,2056.17,4,10
34315,12748,F,Chicago,26576,27-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,3,149,6,0.1,3500,2056.17,4,10
34316,12748,F,Chicago,26577,27-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34317,12748,F,Chicago,26578,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34318,12748,F,Chicago,26584,27-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34319,12748,F,Chicago,26587,27-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6,0.1,3500,2056.17,4,10
34320,12748,F,Chicago,26587,27-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79,6,0.1,3500,2056.17,4,10
34321,14037,M,California,26560,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34322,14037,M,California,26565,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34323,14037,M,California,26566,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34324,14256,F,Chicago,26591,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34325,14256,F,Chicago,26594,27-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,149,6,0.1,3500,2056.17,4,10
34326,14256,F,Chicago,26596,27-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34327,14256,F,Chicago,26600,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,119,6,0.1,3500,2056.17,4,10
34328,14256,F,Chicago,26601,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119,6,0.1,3500,2056.17,4,10
34329,14256,F,Chicago,26604,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34330,14256,F,Chicago,26605,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119,6,0.1,3500,2056.17,4,10
34331,14256,F,Chicago,26608,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34332,14256,F,Chicago,26608,27-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34333,14543,M,Chicago,26613,27-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34334,14543,M,Chicago,26613,27-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79,6,0.1,3500,2056.17,4,10
34335,14543,M,Chicago,26617,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34336,14543,M,Chicago,26618,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,19.99,0.1,3500,2056.17,4,10
34337,16062,F,New York,26620,27-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34338,16062,F,New York,26622,27-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34339,16062,F,New York,26623,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34340,16062,F,New York,26624,27-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,2056.17,4,10
34341,18116,F,Chicago,26625,27-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34342,18116,F,Chicago,26627,27-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2056.17,4,10
34343,12748,F,Chicago,26748,29-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,3549.13,4,10
34344,12748,F,Chicago,26751,29-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,3549.13,4,10
34345,14667,F,California,26763,29-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,119,6,0.1,3500,3549.13,4,10
34346,14667,F,California,26767,29-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119,19.99,0.1,3500,3549.13,4,10
34347,14667,F,California,26767,29-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,19.99,0.1,3500,3549.13,4,10
34348,14667,F,California,26768,29-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,3549.13,4,10
34349,14667,F,California,26769,29-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4,79,6,0.1,3500,3549.13,4,10
34350,14667,F,California,26771,29-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79,6,0.1,3500,3549.13,4,10
34351,14667,F,California,26772,29-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149,6,0.1,3500,3549.13,4,10
34352,14667,F,California,26774,29-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,3549.13,4,10
34353,14667,F,California,26775,29-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,3549.13,4,10
34354,14667,F,California,26775,29-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4,79,6,0.1,3500,3549.13,4,10
34355,14667,F,California,26778,29-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,3549.13,4,10
34356,14667,F,California,26780,29-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,3549.13,4,10
34357,14667,F,California,26783,29-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,3549.13,4,10
34358,13148,M,New York,26758,29-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,3549.13,4,10
34359,13148,M,New York,26761,29-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,3549.13,4,10
34360,12989,F,California,26761,29-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,3549.13,4,10
34361,14911,F,California,25489,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34362,14911,F,California,25490,13-Apr-19,GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34363,14911,F,California,25490,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3000,2872.23,4,10
34364,14911,F,California,25491,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34365,14911,F,California,25493,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149,6,0.1,3000,2872.23,4,10
34366,14911,F,California,25494,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34367,14911,F,California,25494,13-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4,79,6,0.1,3000,2872.23,4,10
34368,14911,F,California,25497,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34369,14911,F,California,25499,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34370,14911,F,California,25501,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,4,119,19.99,0.1,3000,2872.23,4,10
34371,14911,F,California,25501,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,119,19.99,0.1,3000,2872.23,4,10
34372,14911,F,California,25506,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34373,12712,M,Chicago,25433,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34374,12683,M,Chicago,25460,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34375,12683,M,Chicago,25462,13-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6,0.1,3000,2872.23,4,10
34376,12683,M,Chicago,25464,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34377,12683,M,Chicago,25464,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34378,12683,M,Chicago,25465,13-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6,0.1,3000,2872.23,4,10
34379,12683,M,Chicago,25467,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34380,12683,M,Chicago,25474,13-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79,6,0.1,3000,2872.23,4,10
34381,12683,M,Chicago,25474,13-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2,149,6,0.1,3000,2872.23,4,10
34382,12683,M,Chicago,25478,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34383,12683,M,Chicago,25479,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,19.99,0.1,3000,2872.23,4,10
34384,12683,M,Chicago,25480,13-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34385,12683,M,Chicago,25482,13-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79,6,0.1,3000,2872.23,4,10
34386,12683,M,Chicago,25487,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34387,12429,F,New Jersey,25437,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,249,6,0.1,3000,2872.23,4,10
34388,12429,F,New Jersey,25438,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34389,12429,F,New Jersey,25438,13-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,79,6,0.1,3000,2872.23,4,10
34390,12429,F,New Jersey,25444,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34391,12429,F,New Jersey,25445,13-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6,0.1,3000,2872.23,4,10
34392,12429,F,New Jersey,25446,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,5,119,6,0.1,3000,2872.23,4,10
34393,14355,F,New York,25455,13-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6,0.1,3000,2872.23,4,10
34394,14355,F,New York,25457,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34395,17526,M,California,25512,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34396,17526,M,California,25513,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3000,2872.23,4,10
34397,14896,F,Washington DC,25515,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34398,14896,F,Washington DC,25518,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149,6,0.1,3000,2872.23,4,10
34399,14896,F,Washington DC,25518,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34400,14896,F,Washington DC,25519,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34401,14896,F,Washington DC,25521,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3000,2872.23,4,10
34402,14896,F,Washington DC,25522,13-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3000,2872.23,4,10
34403,14896,F,Washington DC,25523,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34404,14896,F,Washington DC,25526,13-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,12.99,0.1,3000,2872.23,4,10
34405,14896,F,Washington DC,25527,13-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3000,2872.23,4,10
34406,14896,F,Washington DC,25530,13-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79,6,0.1,3000,2872.23,4,10
34407,14911,F,California,26707,28-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,2019.73,4,10
34408,18118,M,Chicago,26654,28-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6,0.1,3500,2019.73,4,10
34409,18118,M,Chicago,26655,28-Apr-19,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,0.1,3500,2019.73,4,10
34410,18118,M,Chicago,26656,28-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,79,6,0.1,3500,2019.73,4,10
34411,18118,M,Chicago,26658,28-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79,6,0.1,3500,2019.73,4,10
34412,18118,M,Chicago,26671,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34413,18118,M,Chicago,26673,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,2019.73,4,10
34414,18118,M,Chicago,26674,28-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34415,18116,F,Chicago,26631,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34416,18116,F,Chicago,26633,28-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149,6,0.1,3500,2019.73,4,10
34417,18116,F,Chicago,26635,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34418,18116,F,Chicago,26639,28-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34419,18116,F,Chicago,26640,28-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34420,18116,F,Chicago,26648,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34421,18178,F,New York,26717,28-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34422,18178,F,New York,26717,28-Apr-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,0.1,3500,2019.73,4,10
34423,18178,F,New York,26719,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34424,18178,F,New York,26719,28-Apr-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79,6,0.1,3500,2019.73,4,10
34425,18178,F,New York,26722,28-Apr-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,0.1,3500,2019.73,4,10
34426,18065,F,Chicago,26726,28-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,4,79,6,0.1,3500,2019.73,4,10
34427,18065,F,Chicago,26727,28-Apr-19,GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149,19.99,0.1,3500,2019.73,4,10
34428,18065,F,Chicago,26727,28-Apr-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,19.99,0.1,3500,2019.73,4,10
34429,18065,F,Chicago,26733,28-Apr-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,0.1,3500,2019.73,4,10
34430,18065,F,Chicago,26737,28-Apr-19,GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,2,149,6,0.1,3500,2019.73,4,10
